id,user_id,original_filename,file_type,file_size_bytes,status,error_message,store_name,receipt_date,total_amount,created_at,processed_at
0e25205f-e078-4ff2-ae39-41d7cd57dcd1,f53c5a28-a276-4225-a730-bd33bf2453a0,receipt_20240101_354.jpg,jpg,1050095,COMPLETED,,spar,2024-01-01,47.83,2024-01-01 19:23:00.000000 +00:00,2024-01-01 19:28:00.000000 +00:00
f9626a04-fb98-4008-983e-9533b4f351be,f53c5a28-a276-4225-a730-bd33bf2453a0,receipt_20240102_725.jpg,jpg,913735,COMPLETED,,bio-planet,2024-01-02,61.47,2024-01-02 16:35:00.000000 +00:00,2024-01-02 16:36:39.000000 +00:00
6d5f7385-7ef7-40a5-9635-0fbf48b5fb22,f53c5a28-a276-4225-a730-bd33bf2453a0,receipt_20240103_657.jpg,jpg,177513,COMPLETED,,bio-planet,2024-01-03,50.3,2024-01-03 17:00:00.000000 +00:00,2024-01-03 17:00:49.000000 +00:00
4757edc9-fc82-411d-b89f-1c2e5e3e11d3,f53c5a28-a276-4225-a730-bd33bf2453a0,receipt_20240104_829.jpg,jpg,640254,COMPLETED,,cora,2024-01-04,43.17,2024-01-04 14:41:00.000000 +00:00,2024-01-04 14:44:59.000000 +00:00
4d28ae07-44bb-4a20-b45e-c62e63fa1d4c,f53c5a28-a276-4225-a730-bd33bf2453a0,receipt_20240105_541.jpg,jpg,207874,COMPLETED,,bio-planet,2024-01-05,32.04,2024-01-05 13:39:00.000000 +00:00,2024-01-05 13:42:31.000000 +00:00
98b7fba9-2497-4804-906f-f6723ec1946b,f53c5a28-a276-4225-a730-bd33bf2453a0,receipt_20240106_305.jpg,jpg,1996010,COMPLETED,,match,2024-01-06,65.66,2024-01-06 11:23:00.000000 +00:00,2024-01-06 11:27:43.000000 +00:00
d7f3b2c9-bf7b-4be8-af64-09b614906958,f53c5a28-a276-4225-a730-bd33bf2453a0,receipt_20240107_533.jpg,jpg,1221556,COMPLETED,,match,2024-01-07,19.16,2024-01-07 18:20:00.000000 +00:00,2024-01-07 18:24:21.000000 +00:00
e9bb4359-9981-4eb6-9318-891f109b786c,f53c5a28-a276-4225-a730-bd33bf2453a0,receipt_20240108_573.jpg,jpg,1305096,COMPLETED,,aldi,2024-01-08,54.26,2024-01-08 15:48:00.000000 +00:00,2024-01-08 15:48:57.000000 +00:00
2cac8552-159d-4dfa-bb10-89d1dd4546b9,f53c5a28-a276-4225-a730-bd33bf2453a0,receipt_20240109_194.jpg,jpg,1124170,COMPLETED,,louis delhaize,2024-01-09,103.57,2024-01-09 15:35:00.000000 +00:00,2024-01-09 15:37:44.000000 +00:00
d2e5fe59-4c14-41fd-9757-dc0e66d7a23e,f53c5a28-a276-4225-a730-bd33bf2453a0,receipt_20240110_182.jpg,jpg,1300869,COMPLETED,,intermarché,2024-01-10,26.5,2024-01-10 18:06:00.000000 +00:00,2024-01-10 18:07:55.000000 +00:00
c3f80f6f-8ef8-4a3f-900a-e5b3c757bbfa,f53c5a28-a276-4225-a730-bd33bf2453a0,receipt_20240111_648.jpg,jpg,268909,COMPLETED,,spar,2024-01-11,81.18,2024-01-11 20:20:00.000000 +00:00,2024-01-11 20:20:44.000000 +00:00
6bb9d674-5e4b-40d7-b3f3-4e48cf261433,f53c5a28-a276-4225-a730-bd33bf2453a0,receipt_20240112_481.jpg,jpg,1769257,COMPLETED,,louis delhaize,2024-01-12,51.28,2024-01-12 18:26:00.000000 +00:00,2024-01-12 18:26:33.000000 +00:00
5fb5c2ee-e2bc-4cbd-be57-9b2355948a64,f53c5a28-a276-4225-a730-bd33bf2453a0,receipt_20240113_330.jpg,jpg,1509223,COMPLETED,,cora,2024-01-13,109.66,2024-01-13 18:27:00.000000 +00:00,2024-01-13 18:28:16.000000 +00:00
74702cd4-5544-425a-993d-45728c36513c,f53c5a28-a276-4225-a730-bd33bf2453a0,receipt_20240114_511.jpg,jpg,1488952,COMPLETED,,carrefour,2024-01-14,64.29,2024-01-14 11:58:00.000000 +00:00,2024-01-14 12:03:00.000000 +00:00
ef5c6408-e6f0-4a3c-8b81-ea1ee45f1df4,f53c5a28-a276-4225-a730-bd33bf2453a0,receipt_20240115_206.jpg,jpg,601674,COMPLETED,,jumbo,2024-01-15,37.36,2024-01-15 16:26:00.000000 +00:00,2024-01-15 16:28:28.000000 +00:00
00495651-32dc-4c11-979c-301a45bbb1bb,f53c5a28-a276-4225-a730-bd33bf2453a0,receipt_20240116_369.jpg,jpg,852539,COMPLETED,,spar,2024-01-16,54.44,2024-01-16 11:19:00.000000 +00:00,2024-01-16 11:22:53.000000 +00:00
b27c3be5-8246-465a-835f-ebcc1af86de8,f53c5a28-a276-4225-a730-bd33bf2453a0,receipt_20240117_465.jpg,jpg,882268,COMPLETED,,delhaize,2024-01-17,50.33,2024-01-17 11:38:00.000000 +00:00,2024-01-17 11:42:08.000000 +00:00
908de357-301f-497d-bacd-642202383468,f53c5a28-a276-4225-a730-bd33bf2453a0,receipt_20240118_727.jpg,jpg,1367299,COMPLETED,,delhaize,2024-01-18,62.85,2024-01-18 15:59:00.000000 +00:00,2024-01-18 16:00:01.000000 +00:00
3f2027d5-ab6b-4429-85cc-f3b38275eddf,f53c5a28-a276-4225-a730-bd33bf2453a0,receipt_20240119_104.jpg,jpg,1268071,COMPLETED,,albert heijn,2024-01-19,70.87,2024-01-19 17:44:00.000000 +00:00,2024-01-19 17:46:39.000000 +00:00
883481de-6d43-4c70-8e95-00376d8b3300,f53c5a28-a276-4225-a730-bd33bf2453a0,receipt_20240120_596.jpg,jpg,1517583,COMPLETED,,spar,2024-01-20,68.67,2024-01-20 18:36:00.000000 +00:00,2024-01-20 18:38:33.000000 +00:00
aba56e9b-d241-4dcb-9d28-49b4f106f484,f53c5a28-a276-4225-a730-bd33bf2453a0,receipt_20240121_285.jpg,jpg,1600751,COMPLETED,,intermarché,2024-01-21,65.68,2024-01-21 14:08:00.000000 +00:00,2024-01-21 14:10:19.000000 +00:00
6a561a57-1697-46ea-b6f6-670bc925fe99,f53c5a28-a276-4225-a730-bd33bf2453a0,receipt_20240122_937.jpg,jpg,1338249,COMPLETED,,match,2024-01-22,46.49,2024-01-22 22:03:00.000000 +00:00,2024-01-22 22:06:19.000000 +00:00
c5b7cab5-0029-4462-8a3a-cdcbb8acb5ff,f53c5a28-a276-4225-a730-bd33bf2453a0,receipt_20240123_702.jpg,jpg,970847,COMPLETED,,okay,2024-01-23,63.99,2024-01-23 22:27:00.000000 +00:00,2024-01-23 22:29:58.000000 +00:00
58799108-99ad-4a4a-b61f-f70e25631c56,f53c5a28-a276-4225-a730-bd33bf2453a0,receipt_20240124_726.jpg,jpg,1313745,COMPLETED,,okay,2024-01-24,69.88,2024-01-24 14:35:00.000000 +00:00,2024-01-24 14:38:38.000000 +00:00
92ce7861-7e75-41cb-8de6-70c0efeae57a,f53c5a28-a276-4225-a730-bd33bf2453a0,receipt_20240125_219.jpg,jpg,432525,COMPLETED,,okay,2024-01-25,84.66,2024-01-25 15:01:00.000000 +00:00,2024-01-25 15:05:07.000000 +00:00
