id,user_id,receipt_id,store_name,item_name,item_price,quantity,unit_price,category,date,created_at,health_score
14aad7d4-34c1-4fd2-8c68-cae20b3d0c51,f53c5a28-a276-4225-a730-bd33bf2453a0,0e25205f-e078-4ff2-ae39-41d7cd57dcd1,spar,WHISKY JACK DANIELS 70CL,24.99,1,24.99,ALCOHOL,2024-01-01,2024-01-01 18:42:00.000000 +00:00,0
08c2d80e-5996-4f7f-8abe-64bd401c4eab,f53c5a28-a276-4225-a730-bd33bf2453a0,0e25205f-e078-4ff2-ae39-41d7cd57dcd1,spar,L&M RED,7.9,1,7.9,TOBACCO,2024-01-01,2024-01-01 18:42:00.000000 +00:00,0
56b387fd-a61c-4026-81c5-d9e18d1f0f0a,f53c5a28-a276-4225-a730-bd33bf2453a0,0e25205f-e078-4ff2-ae39-41d7cd57dcd1,spar,SOEP TOMATEN,2.49,1,2.49,READY_MEALS,2024-01-01,2024-01-01 18:42:00.000000 +00:00,3
726e9832-f480-4924-9c6e-29f52eecd753,f53c5a28-a276-4225-a730-bd33bf2453a0,0e25205f-e078-4ff2-ae39-41d7cd57dcd1,spar,YOGHURT DANONE,2.99,1,2.99,DAIRY_EGGS,2024-01-01,2024-01-01 18:42:00.000000 +00:00,3
1bd878b2-191c-4c91-a541-f50f2c59b2ad,f53c5a28-a276-4225-a730-bd33bf2453a0,0e25205f-e078-4ff2-ae39-41d7cd57dcd1,spar,RED BULL 25CL,1.49,1,1.49,DRINKS_SOFT_SODA,2024-01-01,2024-01-01 18:42:00.000000 +00:00,0
e57df353-4b84-4334-aaf6-e72be632eda5,f53c5a28-a276-4225-a730-bd33bf2453a0,0e25205f-e078-4ff2-ae39-41d7cd57dcd1,spar,LASAGNE BOLOGNESE 400G,3.99,1,3.99,READY_MEALS,2024-01-01,2024-01-01 18:42:00.000000 +00:00,2
789e1b6e-c2f1-4a5e-8bf5-0e2b97c0d92a,f53c5a28-a276-4225-a730-bd33bf2453a0,0e25205f-e078-4ff2-ae39-41d7cd57dcd1,spar,CHIPS LAYS PAPRIKA,1.99,1,1.99,SNACKS_SWEETS,2024-01-01,2024-01-01 18:42:00.000000 +00:00,1
a51f75f2-fab7-49a1-b398-3b2f2732f78a,f53c5a28-a276-4225-a730-bd33bf2453a0,0e25205f-e078-4ff2-ae39-41d7cd57dcd1,spar,ERWTJES DIEPVRIES,1.99,1,1.99,FROZEN,2024-01-01,2024-01-01 18:42:00.000000 +00:00,4
d231262d-af68-48b9-a13d-f3953e2fad8c,f53c5a28-a276-4225-a730-bd33bf2453a0,f9626a04-fb98-4008-983e-9533b4f351be,bio-planet,RODE WIJN BORDEAUX,6.99,1,6.99,ALCOHOL,2024-01-02,2024-01-02 15:21:00.000000 +00:00,1
ccf070f8-4a7f-4464-8f70-069351d9a233,f53c5a28-a276-4225-a730-bd33bf2453a0,f9626a04-fb98-4008-983e-9533b4f351be,bio-planet,L&M RED,7.9,1,7.9,TOBACCO,2024-01-02,2024-01-02 15:21:00.000000 +00:00,0
