id,user_id,original_filename,file_type,file_size_bytes,status,error_message,store_name,receipt_date,total_amount,created_at,processed_at
92e0ddc7-baa9-4aaa-9012-85c45539c283,66dd1d99-4282-434c-8228-ee5b99623aae,receipt_20240101_593.jpg,jpg,1006988,COMPLETED,,intermarché,2024-01-01,40.44,2024-01-01 18:07:00.000000 +00:00,2024-01-01 18:11:32.000000 +00:00
edf834db-96ad-4fc7-9021-f7f22d3984f5,66dd1d99-4282-434c-8228-ee5b99623aae,receipt_20240102_262.jpg,jpg,63532,COMPLETED,,bio-planet,2024-01-02,85.68,2024-01-02 15:22:00.000000 +00:00,2024-01-02 15:22:42.000000 +00:00
9320bbb4-9bd8-4ad1-b832-133bceb3a144,66dd1d99-4282-434c-8228-ee5b99623aae,receipt_20240103_257.jpg,jpg,1671116,COMPLETED,,match,2024-01-03,69.14,2024-01-03 20:06:00.000000 +00:00,2024-01-03 20:10:19.000000 +00:00
21df8358-2b3f-437b-971c-2ac9da189ec1,66dd1d99-4282-434c-8228-ee5b99623aae,receipt_20240104_385.jpg,jpg,594025,COMPLETED,,carrefour,2024-01-04,33.61,2024-01-04 18:07:00.000000 +00:00,2024-01-04 18:11:36.000000 +00:00
c4f4cbff-5446-4ab3-a754-20809689452e,66dd1d99-4282-434c-8228-ee5b99623aae,receipt_20240105_650.jpg,jpg,958227,COMPLETED,,louis delhaize,2024-01-05,74.36,2024-01-05 21:58:00.000000 +00:00,2024-01-05 22:00:13.000000 +00:00
de57d529-ffe9-456b-8526-599347594522,66dd1d99-4282-434c-8228-ee5b99623aae,receipt_20240106_969.jpg,jpg,1118647,COMPLETED,,delhaize,2024-01-06,45.45,2024-01-06 14:13:00.000000 +00:00,2024-01-06 14:15:03.000000 +00:00
8e46f240-d396-4f0a-b8a4-e2501a5d63af,66dd1d99-4282-434c-8228-ee5b99623aae,receipt_20240107_311.jpg,jpg,390303,COMPLETED,,aldi,2024-01-07,58.41,2024-01-07 09:41:00.000000 +00:00,2024-01-07 09:45:37.000000 +00:00
4a085f07-9e43-4116-b549-91de7d38d744,66dd1d99-4282-434c-8228-ee5b99623aae,receipt_20240108_669.jpg,jpg,671920,COMPLETED,,cora,2024-01-08,78.98,2024-01-08 13:11:00.000000 +00:00,2024-01-08 13:15:21.000000 +00:00
df769958-6f3f-4aff-8d6b-e3e17c51b0f9,66dd1d99-4282-434c-8228-ee5b99623aae,receipt_20240109_414.jpg,jpg,1221956,COMPLETED,,albert heijn,2024-01-09,53.62,2024-01-09 09:40:00.000000 +00:00,2024-01-09 09:42:53.000000 +00:00
c7a7a496-1941-4793-93ba-21e1d9cef917,66dd1d99-4282-434c-8228-ee5b99623aae,receipt_20240110_465.jpg,jpg,1076522,COMPLETED,,intermarché,2024-01-10,47.77,2024-01-10 10:20:00.000000 +00:00,2024-01-10 10:22:32.000000 +00:00
d643ef11-8f76-4956-9a14-95ccd82258e9,66dd1d99-4282-434c-8228-ee5b99623aae,receipt_20240111_752.jpg,jpg,1308755,COMPLETED,,albert heijn,2024-01-11,75.78,2024-01-11 19:44:00.000000 +00:00,2024-01-11 19:46:35.000000 +00:00
d3f7bc13-102e-4e62-abb4-a084f238fc5a,66dd1d99-4282-434c-8228-ee5b99623aae,receipt_20240112_872.jpg,jpg,1019558,COMPLETED,,colruyt,2024-01-12,21.12,2024-01-12 19:30:00.000000 +00:00,2024-01-12 19:33:50.000000 +00:00
