id,user_id,receipt_id,store_name,item_name,item_price,quantity,unit_price,category,date,created_at,health_score
7422db2c-baa5-463f-a12f-02f380e9a5a7,66dd1d99-4282-434c-8228-ee5b99623aae,92e0ddc7-baa9-4aaa-9012-85c45539c283,intermarché,WITTE WIJN CHARDONNAY,5.99,1,5.99,ALCOHOL,2024-01-01,2024-01-01 17:29:00.000000 +00:00,1
e4f0ccc3-6c00-4953-806c-2a1bcbc87387,66dd1d99-4282-434c-8228-ee5b99623aae,92e0ddc7-baa9-4aaa-9012-85c45539c283,intermarché,WHISKY JACK DANIELS 70CL,24.99,1,24.99,ALCOHOL,2024-01-01,2024-01-01 17:29:00.000000 +00:00,0
5662e0d3-bc37-4402-93b1-821ed2bccab9,66dd1d99-4282-434c-8228-ee5b99623aae,92e0ddc7-baa9-4aaa-9012-85c45539c283,intermarché,CHOCOLATE COTE D'OR,2.99,1,2.99,SNACKS_SWEETS,2024-01-01,2024-01-01 17:29:00.000000 +00:00,1
8feca314-4d30-48c2-8203-c8ae7cb5b9e1,66dd1d99-4282-434c-8228-ee5b99623aae,92e0ddc7-baa9-4aaa-9012-85c45539c283,intermarché,CHOCOLATE COTE D'OR,2.99,1,2.99,SNACKS_SWEETS,2024-01-01,2024-01-01 17:29:00.000000 +00:00,1
15a29084-336b-48b9-a5eb-2cedb1caf674,66dd1d99-4282-434c-8228-ee5b99623aae,92e0ddc7-baa9-4aaa-9012-85c45539c283,intermarché,SLA MIX,1.99,1,1.99,FRESH_PRODUCE,2024-01-01,2024-01-01 17:29:00.000000 +00:00,5
458dc7c5-fb4f-4a38-8013-3059cec02f94,66dd1d99-4282-434c-8228-ee5b99623aae,92e0ddc7-baa9-4aaa-9012-85c45539c283,intermarché,RED BULL 25CL,1.49,1,1.49,DRINKS_SOFT_SODA,2024-01-01,2024-01-01 17:29:00.000000 +00:00,0
bc576b68-bdea-4a30-8e33-aa1cace4c423,66dd1d99-4282-434c-8228-ee5b99623aae,edf834db-96ad-4fc7-9021-f7f22d3984f5,bio-planet,VODKA SMIRNOFF 70CL,18.99,1,18.99,ALCOHOL,2024-01-02,2024-01-02 13:22:00.000000 +00:00,0
e6f007f1-e6cc-48e7-aedd-3360b8e80fc7,66dd1d99-4282-434c-8228-ee5b99623aae,edf834db-96ad-4fc7-9021-f7f22d3984f5,bio-planet,GORDON'S GIN 70CL,19.99,1,19.99,ALCOHOL,2024-01-02,2024-01-02 13:22:00.000000 +00:00,0
b7c3aafd-2fcf-49ab-91eb-eadcdb4dc2b2,66dd1d99-4282-434c-8228-ee5b99623aae,edf834db-96ad-4fc7-9021-f7f22d3984f5,bio-planet,RODE WIJN BORDEAUX,6.99,1,6.99,ALCOHOL,2024-01-02,2024-01-02 13:22:00.000000 +00:00,1
65002a30-59ae-46ba-9b9b-4deceb0161d2,66dd1d99-4282-434c-8228-ee5b99623aae,edf834db-96ad-4fc7-9021-f7f22d3984f5,bio-planet,MARLBORO RED,8.5,1,8.5,TOBACCO,2024-01-02,2024-01-02 13:22:00.000000 +00:00,0
a1420619-7a35-45ad-ab01-e04e4145b114,66dd1d99-4282-434c-8228-ee5b99623aae,edf834db-96ad-4fc7-9021-f7f22d3984f5,bio-planet,PASTA SPAGHETTI 500G,1.29,1,1.29,PANTRY,2024-01-02,2024-01-02 13:22:00.000000 +00:00,3
b653fa00-6570-45a7-a0a5-04e790d36a96,66dd1d99-4282-434c-8228-ee5b99623aae,edf834db-96ad-4fc7-9021-f7f22d3984f5,bio-planet,CROISSANTS 4ST,3.49,1,3.49,BAKERY,2024-01-02,2024-01-02 13:22:00.000000 +00:00,2
7d8f5496-259b-4ff9-bf9b-80f612ca9249,66dd1d99-4282-434c-8228-ee5b99623aae,edf834db-96ad-4fc7-9021-f7f22d3984f5,bio-planet,SOEP TOMATEN,2.49,1,2.49,READY_MEALS,2024-01-02,2024-01-02 13:22:00.000000 +00:00,3
